reportDate,zip,confirmed_cases,total_tested
1/26/2021 12:00:00 AM,61539,16,127
1/26/2021 12:00:00 AM,61540,128,2456
1/26/2021 12:00:00 AM,61542,280,3630
1/26/2021 12:00:00 AM,61544,21,687
1/26/2021 12:00:00 AM,61545,42,567
1/26/2021 12:00:00 AM,61546,337,4530
1/26/2021 12:00:00 AM,61547,329,3771
1/26/2021 12:00:00 AM,61548,1120,14787
1/26/2021 12:00:00 AM,61550,1947,24993
1/26/2021 12:00:00 AM,61552,11,221
1/26/2021 12:00:00 AM,61553,7,281
1/26/2021 12:00:00 AM,61554,3882,46279
1/26/2021 12:00:00 AM,61555,17,268
1/26/2021 12:00:00 AM,61559,248,2891
1/26/2021 12:00:00 AM,61560,40,460
1/26/2021 12:00:00 AM,61561,175,3116
1/26/2021 12:00:00 AM,61563,19,625
1/26/2021 12:00:00 AM,61564,113,984
1/26/2021 12:00:00 AM,61565,82,1080
1/26/2021 12:00:00 AM,61567,37,779
1/26/2021 12:00:00 AM,61568,528,4342
1/26/2021 12:00:00 AM,61569,70,992
1/26/2021 12:00:00 AM,61570,82,1794
1/26/2021 12:00:00 AM,61571,2133,26851
1/26/2021 12:00:00 AM,61572,92,819
1/26/2021 12:00:00 AM,61601,10,348
1/26/2021 12:00:00 AM,61602,102,1950
1/26/2021 12:00:00 AM,61603,1335,16694
1/26/2021 12:00:00 AM,61604,2719,38598
1/26/2021 12:00:00 AM,61605,1045,13885
1/26/2021 12:00:00 AM,61606,537,7728
1/26/2021 12:00:00 AM,61607,961,11140
1/26/2021 12:00:00 AM,61610,405,4831
1/26/2021 12:00:00 AM,61611,2111,27219
1/26/2021 12:00:00 AM,61612,13,317
1/26/2021 12:00:00 AM,61614,2504,42639
1/26/2021 12:00:00 AM,61615,1919,27475
1/26/2021 12:00:00 AM,61616,525,10527
1/26/2021 12:00:00 AM,61625,58,125
1/26/2021 12:00:00 AM,61701,2610,49245
1/26/2021 12:00:00 AM,61704,2489,36886
1/26/2021 12:00:00 AM,61705,1036,15323
1/26/2021 12:00:00 AM,61720,16,275
1/26/2021 12:00:00 AM,61721,27,540
1/26/2021 12:00:00 AM,61722,44,449
1/26/2021 12:00:00 AM,61723,175,2304
1/26/2021 12:00:00 AM,61724,31,553
1/26/2021 12:00:00 AM,61725,122,1347
1/26/2021 12:00:00 AM,61726,212,2823
1/26/2021 12:00:00 AM,61727,760,8571
1/26/2021 12:00:00 AM,61728,116,1545
1/26/2021 12:00:00 AM,61729,151,1147
1/26/2021 12:00:00 AM,61730,24,283
1/26/2021 12:00:00 AM,61731,18,255
1/26/2021 12:00:00 AM,61732,164,1961
1/26/2021 12:00:00 AM,61733,98,1072
1/26/2021 12:00:00 AM,61734,227,2446
1/26/2021 12:00:00 AM,61735,22,334
1/26/2021 12:00:00 AM,61736,157,2194
1/26/2021 12:00:00 AM,61737,30,407
1/26/2021 12:00:00 AM,61738,447,4739
1/26/2021 12:00:00 AM,61739,516,7965
1/26/2021 12:00:00 AM,61740,184,1920
1/26/2021 12:00:00 AM,61741,171,1946
1/26/2021 12:00:00 AM,61742,96,1182
1/26/2021 12:00:00 AM,61743,33,206
1/26/2021 12:00:00 AM,61744,179,1857
1/26/2021 12:00:00 AM,61745,318,4104
1/26/2021 12:00:00 AM,61747,88,4046
1/26/2021 12:00:00 AM,61748,217,2720
1/26/2021 12:00:00 AM,61749,51,435
1/26/2021 12:00:00 AM,61751,7,110
1/26/2021 12:00:00 AM,61752,254,4205
1/26/2021 12:00:00 AM,61753,252,2747
1/26/2021 12:00:00 AM,61754,89,1070
1/26/2021 12:00:00 AM,61755,452,4427
1/26/2021 12:00:00 AM,61756,146,1726
1/26/2021 12:00:00 AM,61759,133,1355
1/26/2021 12:00:00 AM,61760,180,3048
1/26/2021 12:00:00 AM,61761,4958,79784
1/26/2021 12:00:00 AM,61764,1466,28925
1/26/2021 12:00:00 AM,61769,40,789
1/26/2021 12:00:00 AM,61770,70,927
1/26/2021 12:00:00 AM,61771,83,827
1/26/2021 12:00:00 AM,61772,28,336
1/26/2021 12:00:00 AM,61773,53,603
1/26/2021 12:00:00 AM,61774,64,892
1/26/2021 12:00:00 AM,61775,35,311
1/26/2021 12:00:00 AM,61776,114,1261
1/26/2021 12:00:00 AM,61777,72,779
1/26/2021 12:00:00 AM,61778,46,440
1/26/2021 12:00:00 AM,61790,68,4494
1/26/2021 12:00:00 AM,61801,1368,319736
1/26/2021 12:00:00 AM,61802,1394,73511
1/26/2021 12:00:00 AM,61810,17,717
1/26/2021 12:00:00 AM,61811,75,653
1/26/2021 12:00:00 AM,61812,26,456
1/26/2021 12:00:00 AM,61813,132,2437
1/26/2021 12:00:00 AM,61814,124,1291
1/26/2021 12:00:00 AM,61815,13,622
1/26/2021 12:00:00 AM,61816,42,728
1/26/2021 12:00:00 AM,61817,315,2743
1/26/2021 12:00:00 AM,61818,160,1549
1/26/2021 12:00:00 AM,61820,4366,621222
1/26/2021 12:00:00 AM,61821,2040,118630
1/26/2021 12:00:00 AM,61822,1634,95016
1/26/2021 12:00:00 AM,61824,9,293
1/26/2021 12:00:00 AM,61830,28,494
1/26/2021 12:00:00 AM,61831,13,135
1/26/2021 12:00:00 AM,61832,3005,36716
1/26/2021 12:00:00 AM,61833,184,2359
1/26/2021 12:00:00 AM,61834,1549,17561
1/26/2021 12:00:00 AM,61839,24,732
1/26/2021 12:00:00 AM,61840,56,2056
1/26/2021 12:00:00 AM,61841,120,1365
1/26/2021 12:00:00 AM,61842,186,3094
1/26/2021 12:00:00 AM,61843,174,4831
1/26/2021 12:00:00 AM,61844,86,1063
1/26/2021 12:00:00 AM,61845,38,778
1/26/2021 12:00:00 AM,61846,380,4009
1/26/2021 12:00:00 AM,61847,151,4153
1/26/2021 12:00:00 AM,61848,22,243
1/26/2021 12:00:00 AM,61849,90,3444
1/26/2021 12:00:00 AM,61850,44,389
1/26/2021 12:00:00 AM,61851,17,1006
1/26/2021 12:00:00 AM,61852,11,528
1/26/2021 12:00:00 AM,61853,980,39324
1/26/2021 12:00:00 AM,61854,98,1889
